Source,Target,Weight
"UfWsl;qjkgECeEBMcl_qpX/980",ebfqLBwm$sDFXgtvGIUZx,29
VIwNANouqa,OROpPz917,46
lwADmDAAmEuS,USnXxh(qwbUfChcuE>108,37
"eMXrDysX=PSTGc;zA","$[i ",50
"lvhoyUnGEakT>pqoS^,",$im@vllKsn&972,40
aB#b-]w,fQdNMfePzAEks,28
zzU(=?bTd,WhtHGaVT+Co[vnuxBU.tW,47
vKWjuJ,LL<DC@^bYwQMSzJqZi,7
PeDXNhcEh,"AmEJ;;im#RoRfzohf",15
NJd=h,zRFoP<DabFU]cyhNomgRsw,50
L/q,eHVuiIuIJhuPNhWqruk,20
nz%rQ%nRxw.ozKYVC,T]ZVo<[I,44
wPSrfXLTAK,S/s@j,45
"uZmbo ,)Zv",DPOrCHOhorQCEacCqQL,5
DlkcHe,G>W'&R707,3
ekHbhA>rvQsSH^,tFCDhVOMtYJrT353,22
bx)ZIipTsWNhfwybZHTz,"dK+#eW ukO",34
".ASO,qlkqajBZqBKmWd","\U;mw",18
"CJQsyy,rZelTiH]lvwqq,zx",daGqvMzyZJOZoUWv/,1
PgmUEKdZhmJ_692,qYEAxPhGkXjP-icpSKyk956,50
ddcsPvypmeMNqglSBnnB<,#erljAmWqPCawp,34
JKeDtD*D,tA_Y\IYzucfFLO)iMzgsYQ187,36
"bRCSWVnUPU#YKrFc,%",wdXw:LuKNa+bg%HsTIRNxgn,11
QR.*PYlDQniYVT]u,"Uy_e\;MxoYpmTJHJh",24
bwJx'ME$,zUSLw,42
e+/YKnpsHbM%PrWgOVlDr.106,AGue,31
"YIVK,kK",CWZqzAaXmZizrFqGnsg,47
neW#rATsGbqpuVJMc,hvHytnNQkWEzooPw`Amc,17
xqsmcmi/rcdViCNJxkaZ,rXIkZYEJNpnBrlUzo.835,40
g*cjDXLxffTmTpy^S,"mp>x`;a;700",15
" ?HGi/","=[EPp,657",24
upqjZJrtg,^ZjCdubyqIABwfM,15
MJdteoOI*R,OnAWZ'Na.PlLk?UXIpDd,19
xANjAQcJexVpxZtpbm`976,"SNxWS]e;Km",46
Ppr\-Yr-zL,P@tJM[EBwFwigIp:435,13
"<JXt-,ITz",VMbyOs-u>teerJsVlW=jI,1
j$rKzsyvIghrxPD=724,T\jDFxSRmaGVOGCAN[TT,19
btxtDbC,"jc@Pqn=,",25
"D F",##l(xQG,47
$&z<E,OjYbImPprJI,47
"sczDeMq>T_m GUULCe-538",ksAc?_EAW,14
pbWBz_ifPDhca,yhgfaLm(DEEUKmmGl,48
hPMBk,tRLq/RrQD-rXpK,49
"yT.vsq?VtBm \546","r;",30
bpDojNGwcUipHfu,uNroAngiPVHAFFI195,22
PTVhBXOwhknYqnC,Qpb\FjtJ%mHdO`d,19
ipojRtKHRBkHbMJvmuXg,?fKCvT^<A460,16
HJHc%g@OKoZnYEFjPdO,rPumQm,13
kufszLnqxjuMgYe@236,lfrgkPnXYc),15
GVXoHyHeFPk,POEg#E<UnrXx=ZiUqhY,3
eO,mKfzchMgPaZneDCv,19
I'^qjUO,GgG_Ax,48
qdSgFrq]JQD<BfyXYi,l'xt//,4
ffBMeYkOdZLlfIVUJ,COaOoTegWqPl.vUmF224,28
laMMtuEJmMO+jXSB*BE,"`NAL;o",20
yDUfK>VLICYNcCuzHYH,fanymAd(IdNd%RH,20
Q=/jo.,l^ax,41
rb<-UQB\kmWx,\RT<.F,41
Q>okH[uJZZIWNFTeq,"iZI;#M]vzLk",35
jEOYqbKWvaSQPqMEG:JtW,XgXf+uPSkwg>,49
S_z.lZXGx^H,ZIYyjGGYuEcCLUZg,3
P@tJM[EBwFwigIp:435,cHYixbQxH,29
OHbjCWJtSYCcdkqu,/Up_,32
"POJjK$UqfrnW\uP ",SSRbDUTxsQu?oTp=ot`fsR/735,45
JwMSpO970,pgWVynpV<l,14
JD\Tir$NR\wBKD<435,vN%ZaoZtUpDlZpeP&JKp,40
awqHVHz854,pHbPYBrY,1
+eITfVVwwy%pO,Dk,25
*q\,iI'480,25
`$QxR<,"gDyIeid,sY-F",49
"nh@prcR$;u",:U`=Vk,38
wdXw:LuKNa+bg%HsTIRNxgn,kWWGHGRYhqkKH,30
POEg#E<UnrXx=ZiUqhY,"N*yQ,X`706",3
bzhxt$qPbp@,r?_+M,5
brGrIKyQoUV,mnmUFO,29
wQdhjzJQb$JSLo,hUNC,45
Z#qdQWQrFjIWP,iJpN&lPQwn,36
vp/uLd,mMRNAvzWQnrPkPgIfdx,15
FQaWf_Xw,"fyGQiSeCyKcfOg paFVQj",44
NTUDeMO$f+RU]333,?EK?NX481,34
RPK,CaiPQxvyjpGhIbP,48
P_DF($mlPG,$OyECiRCGohNLpcWMdSD206,37
"OjmXuGNPJ;WENL#yG/614",@pFMscYybqLfeWGAOgY`-J,18
kIcQnBFxkZqjaomiDbMG,lYLzYGDX&dpU,12
uMAUoWCou:hZxJAuqt525,kI\SqmLGORKv,49
kI\SqmLGORKv,n+ArCVLQGC[A273,25
%eA%,"HMVN%`BGFzNJ ",7
pTZiuDOUjuBMHoWjSb.Hp,sR#,44
bKjSpkgrRvFHTMR732,>*TFkqNVIzpHY,20
EgroKbpePPyGGjOtf,`C@l,20
cJzS)ZNTybNX=]u,P\'\I/285,6
kllIn@c%pUR=RoV^252,Y,2
lsYciEng-JoVxRPZHY&DiM%489,nBBB.xklueda,47
akHYTGxzIczRni,jVRyzXdu#316,26
mMiKMx#Xc`MOBu*mBPmDT)818,"%V-c ",14
bUQlCiBmRaUJybOGS,YaWGzLKIDxxLrogWDy,10
hdOeiC'MI.A,VfCATAbA,34
%]BRI$FRk,NPGg\uv[Hjn,1
x=fgjfKzmbkywwcPR.,\fdYchZLTeOeSRY[s,42
"wPtVcJD,oGMYgesiPpZN","ASWlx/tCT ;wdLEiAw",32
KTIvUqCq-aqQKBhKsU,":bSAnr>NF,wnCGtsAhshEB388",38
X,E,44
sTYojhy]937,ecOLS@rzz,39
$YTOFKbVyaHYGZ(-OESP301,NBVJRRGecQqRBO)NVqUV,2
"GoonfbylgcWw,OxVIaTPU",OAIrvTrTpWRYX,18
abCcG_J[?ZjatCqS417,dfT-KzXp%iI_VRGKHdRUj,3
" VcaE=NRx$XNdkq",VVQkrvPIslQC>,11
qxVWM>eY,B*MuO_COq,9
dhQX,yuemw-EbWEaiw>jbCcCP,30
ko.iXIXzGiw-uxjO,UYKPvEDrrVb248,13
aw_<wi/UVt,jPBYVDWv,1
Qpb\FjtJ%mHdO`d,Di,12
"crUMOsrjPqRLza,r137",t#.^^883,12
FjvS,mlUjehLz`CWsytPZVNeUF,7
H-ORBkIhtW:xJbG@kbJaCDf,BL:Bxs,41
HGvpg/m`lVTJcLqrmAQh559,M?EStlKfrRzFh=(777,45
"QVTMB,TyYSsq:p*lVTo%660",XDwv$QDPwLU,23
jmNbkhFiugsjtdvFgtm,z_lnzBqFFppfIjQpFY,38
Ln:AFNru*AMq_bPcy]413,"%bgYJTD]ilz lYxWTzH",30
b^209,"n;Tz*w",23
AbuuBZ,Q]Yq$xy/o,11
U$nMjZMmNkoqXQwqcjps,+YJDbpuqLY,31
xSQdtoDNWHfzKkScY,"xQ.j hdEGa",16
q>$<p507,ptg[OqDcAUa]Qwgjs+,44
hFvSUkT,DqGsQIjV,6
ggt<783,VpUp^cLm#d]e,11
zRXiF(ShiohqPR,"@,c",35
HWfgJDBtk%TEqFva'Kz>,YhaXg_RKJ`,27
uNVR$\XFaQwrFfkjETrwKm]504,qDtHMgQGmcZBmvHq:zk%425,21
bVEFDfkIYjHdUFrX?,oHoLpKrBuxpTJs,26
jBcvzEx]ns*PMqcLccBw,FgpYzSVVbkjo,49
JD%ZqX,wFXfaYgvV&ljg>jUGyGVQy,41
"mRzshmmao;a","NARYG_net]o 336",36
a=obHQG,eQO>CUmhkMv,21
"jN> CcdPJID762",MQTcvSnBna/567,8
neLG\uXKeTLBXadbFyphc,UMJWoysThZcI779,48
bNlM^dsLP,Vf>e,8
"(TEzl,ZC",fcXB,45
">,u","xRUBlSpyAXk@t,eL;",28
"$ F",qbANOQI,37
jDeFyoukIKnkVqX,WXyGYa/vGr.oF.nQ,36
InZMJLB_LV+kO?I,Q-,50
"bsQKY]pap#xfc,tTktbPEeO",vu_v<rr:mcWZQSXMdm167,48
yy_Er_763,j,5
egEarbdBzANxYmNl,GJebAQekwWjQuQevfSY,28
Aed,wyspwZxltr+ENfA,29
cV$embMCmggGTdnTbfN,zFyNwhlub,5
Zbxxcz:cq,YrbRMBmVuewHrvFYfDBj,42
TV+tJP*,DxGGDUhM+336,17
axHhZeDIUJ$BkQMPMt,>IeGeIoFHiQgQm+uViHbv,10
hOhyDgO:,oGjkKWmPgJxKUDAjLUwf,27
uAa,"EvyyaqmgfuW;SE`iT.",7
qi,";]#M",19
ySTKGALJ\,>Dqt[,30
'[ZMQ',FJhiw#,8
iFtWgMoMYIN]pFbAiH\&,JqFtsCgd',36
"d +:HPOJ",YTFnz),34
.-mFkCJFi=z,"uCfXy LENdcC@?290",13
r+BX-.i,wFXfaYgvV&ljg>jUGyGVQy,29
IxBwVy\lH+\,(vHR,17
aOqAlKNvOlIwNtKKA,=cRQ,44
VWHPuuGFTZqBhI:\921,KShNspwxiuXctKIhU,21
x,sxC.syUmdjiJmDDqhveJh(563,44
dapDUgnZSxU.M,ddcsPvypmeMNqglSBnnB<,3
xC'fVWw(apPMWZVKeHlZf,yZw,12
A@),[[mjFGIHZ,48
RqKKcIgay,IHoAFzhxmfhOxaIthcd,4
YN[&,OnAWZ'Na.PlLk?UXIpDd,20
Vp+pGL,(vHR,13
VVUkRiPvmtdNTDIfD,"q=pOPkDK,HdoMlRf$.864",20
rG,FRsNfdzDr'X,46
PHsEbdPbRtOYAXIbxU.764,xEnhIdNxOrd<380,18
syCzGjRJelkehysxok213,seqVocPeowDNcB,22
LTtv-891,lzUssOIxyFgFMlPoy+)-,14
YCdLd^i`jFuVrS,.dsW_.DX719,49
";D)gu&qNBzPCQU",yAWEwineJS@Z,14
RANZvvDiFixS`z,SGso/FgsNA=-dQ,32
JPgLWkXVZFD318,>E%s)x,39
"cUga+-BEApyDW]p 226",JYz'pIyFyUtSST,26
hDoZiSnsl,M+sAitxCiGLs<QQKqYs,12
OdYIBSXBv*pss,Ej,8
pNP,WhLFjMSFSIh<oWXf,29
"*AnxtrPDDvjGxchJ&n;QjCY",CiZ]=EeeFwQYF]qu)510,45
"QuPQ ]","TWNC%Z;wA",2
cOO\vvXxNZcgUfEGGOI,mKgKxTCNS_UwjLhH,50
x>SFgJ*lRAyS,Rsq-t@ShUbaiHgajTsI,8
"k'dQuy;485",qN)EiofxDGb,28
AwZOUkBzjI,sFNKnIDLga,27
rbRz\QLAMkUlEbN,eo?n-CqQ',38
SpjARqqmDJKsla?[AlUbxZ,"QVTMB,TyYSsq:p*lVTo%660",11
FdFB,MBWazfdnDKAqLQWp,14
eJmBuJwHpucm*CmlaNnt^o,SYeAyzG.FNPPE\n.,50
QPqzqaSDYZDKfp.,LCK@lJDOpaa,50
"b@xSIuZAFuAWNusbsx;LbW#550","nOzQ;\xZzDYsMpIDlZxqmU",24
"*AnxtrPDDvjGxchJ&n;QjCY",SmB.312,19
dgHn<abhNJJHs?wAd,VIwNANouqa,26
c&>+251,"p,mPcfG(DUGlB",3
tLDlHM&cFsaYXLwKFf-446,xEC(TkZekNa\bxePJ,15
uLhjUXgnRpGQWGEAVp,u]PrNclAJfeuxd,20
MERjLbGbFAyhUChtw357,c=jp,10
"QjwUcP <NvUP(BawPCyls",*XrI(*tdDS,36
#JzTSkrM?XUMeYDBrO773,mvAH$wPuv%ZV498,20
ApiEUPKKp.WPVubq#957,psxLYFWP@Vxojx,21
"GoGv%[QHb[XYfimdgw 124",cbzOhJj166,39
$=Du,"p[YZby/WwYio;Ue",6
NzvQmdjuTYD,"KNm<e D$*934",5
"@#n,N","$t&HeUSYSoorGxdS;667",1
uPD$G^kytNP.NXaELVeWH,JnEHTu]gd.,20
aSq`dUL$xXEmbRYIFs695,FFAUzssUlc.XuzNF,39
W.qrLr$(m,FeAhfJ,36
U<v:a,ymiiCOJiHlZy&757,2
iblDSYISOp,NbwABbMwmgUefepGOEv,3
LSeniMeQtFiwsBKOPXl,]GXWT,43
dl,j_rWcddSSWABt,21
Cwdb'J,feINExkBjz,27
k%tADBtGtwlH477,rsxkZsfzioCARXnOSuMm,23
dDgvnSjv,"GPVqgn[kRo>Fi;Id",18
IXZCV>^,LbcHxNkDMupbkhvKZ,32
eJHbwBNQfnVXVvdwdSs,"mHJD<MkS;EyN,",5
LcRMKvCJmS,EuwNtFCHrRK151,14
*znL,PXTfqCJ&)tIywdA=kue,17
KgzOy#,joYYVjGKYkzuksdq,23
eV?nz*yvTywyTXpkRPSbNl,"=F,Su",8
JvwdfYvO\TvBjFAHHRIIm#,WShHwaHdgESBr(l@644,20
p'NS437,SHplAk*wU[aWbf)812,46
"r\WbM;vhhHq",wPtnEgLCwVsfJbdu,48
eDVdh/<LEG,&'P/H,27
"QVTMB,TyYSsq:p*lVTo%660",LqoDhBvH#Bj,30
xpNP,jZB@dbhm,14
oA%_pZ>,Zbxxcz:cq,3
lhgPv_jctqCPJL>,inuecTUajGqeiwZmCW/,44
M>(nAC`J,>H,41
rOPgYOGbLU_vBudUva,qKDdnUAedMzmtUym550,42
HTL?OSYoDUSdtF403,qxr,14
JAdWnAyzkcKm/xLp+Dx,zROdRSfygWDUOyWMEnu,15
LIMNaaLE,qerKLE,29
JfibkWwWGsqRIkrPs202,yDqB.NUw,20
ME=BOOV,tgSSlrEoqLs,1
&dzxKlVqHaRO(EawBHf)L,zOt.hbnITjGH,11
$&z<E,iN%X,50
aEEOueJKjLxCDdVV103,wR)Pnuoufe.aCfX,46
KGrHNCmAZA<\axQZKlBtRV,+?l#,12
J<Se/A-L257,GsBHVew$vYLyRXq<s,24
R*vLhySKNhLTL_voiQ%lqV,EnDSUmtcXQqyKJ,21
dTGq(CT^iISjW_,HYFHqJddhTU,24
CEYb-waFy_xQXGhNcOQu,QswR,4
dhuB\ks,#wb\s>YWC,44
vKiazrjZmvQTldowHHiy,ZxTI+GSHeunmKsZFZ]Y>,16
QPqzqaSDYZDKfp.,H.e[U<R,19
Y$FNWvftkHUKH,f:uZFRLuReaqrkfN^Qv[Mv,49
$VclnvQGXPZcIENS$fobz%,t,41
<[WCNupbRC,iYIngUp)(,46
urncAE+JaabVbdIOwHU,k_NJyI],2
^qlGN]JJS+CImmQ231,BPO/B*K=eJTsJ,22
"OD;QbDRI\mIv",Ka]dWBojRpeBZ%Xf,44
y<IGAUmppeBCEVFK=$,VPnojcvrEYrCU]@xA,46
LWEQnWqqFVyrzcpYBWc882,AnW&kjYPChiCC(c\bctQcz,29
YsVl'Xp&HxBxGVEIT639,SRXomnv/,19
AzmrWLWmSFEDXtVAUjn,"Wx [;I",10
"GZxzFgGHQEDfDC;C'",uKbWWfWBtQNsJItB*,10
QmbUuqyjknTYFm.S-371,DCGC/,19
"B,ZZ_.HyoGqU",halLltSyvxcEiH,31
bRJiKRXSbiRZRNU,"EKV;e",44
twr),PjRO$CV,37
QpMDdk(DgtEpQNJKGj.230,BafTQdLL,29
+mOG%RcFY,ioVSjPxxRRkf,2
<[WCNupbRC,aJFDmikRkHOTXW,14
SEuucwmxTWg?LxHU:mIw>,",g.",19
WKtcaQ,_LEXJF@,11
yhgfaLm(DEEUKmmGl,hxzAZzNBAdO',35
"n#KFELBefoo pb'",yt,22
UTaoRiTT_fynq,wC:X%U,6
eVK`q)XpKluBWrq,l%eOUFsiKkZVbTAslLWXW,8
MQTcvSnBna/567,".';x",46
VSxK,hh*%]593,33
Wl]JxqPNIiHyu/FH'm,g/YiUouJTOci\OVc%,37
KB,lUTDLKKna,45
"DiHkCeS;gMdQ>r",QYgNpd`bHfqU[CeDxaIalb,3
>DORS=ky.,kncBVS/Es:264,49
S`VTxqpu(PHeXWw[,tIgTLFvSsyuMvDEOdGX,41
vCwadBdefNaDSHb&,rrc'v#e\rt,10
KbwvD^wyqnZpJ#HsHWqx,FqfEh=gFoS]LYf+/764,1
fTM]aqFIHfI`k[BAiw,"Q+l:nA;",41
UV`jsVahPslvYEyQR,GqLyU^=INyEaEQscc,24
"oo;bw_a-Gvj",neLG\uXKeTLBXadbFyphc,7
xvvEtsJfPfB,t#.^^883,8
wgxyhIEJ]WIl@kre,F+bRf'uSpbrSnVmWR,28
PGKXSYwplhLpJsD`o^937,lK*-J\179,24
gACjLNHnkvw#SHbN,Qy,39
gSAHsFDzwvPpJlLLCbni,[ryWgUEfz#GsY793,16
QgD`)?a,wqB\Gor,48
Fuy\jYVUYAyeDN,"fejg$]PfstuMJSW,qMkD",20
Lo$j#iUO,Mv\Vf+C,50
km,vF+oQ849,5
YMg.YqdRMiXZInKsM,vSdmagBs,33
(cfjrUSD'b546,UqjgqkQiXmHULPC,1
YrkFmagPCAjeRXkCwiuc,^tYIq-CbWzWxvsZxheS,5
VMbyOs-u>teerJsVlW=jI,ZOLXjUWNWuAey,44
:bJBMDdAjmANyqvEvR,dQCIQ,28
olH>MuksSjOZAjHwYDR,r<HDzuhDeJFjKn)vFhcyZE,27
Vh<wpMj#[IgLUMllVkvkDd,Lu`HP]R[727,1
lYeIYuG%lkR,njP857,36
(eZtklHH_WVs,"Fgb/,jJEdJ",16
ceCAVEldgRMPg,"+w AOClDCJcF",16
vry$DhxCVycgZcJn<457,CWKg\saqiTvTFr158,23
dbh[-EqGgdc]XLwVe,LMgC)SF+pHN'T,21
",stvyxeAMaACiBGsNpNq",nWoOpYp,10
lRaGgyKLX:-WPBK#Cv,YaWGzLKIDxxLrogWDy,1
"f'auEObuTCjr _",At(.tAQHBjsQtrUnvd,28
rk`DQoGlOWOQTTTSb<skU,KflZn=M,28
q]&B],UfoeVDLklVorsbNOTat#t924,1
vYlCkDqFwBhaTmWXMEaF,QZNaFvh,47
sxmncWd]NKY@],XUAaBYWldFnJ$h[,18
XDwv$QDPwLU,aMk:NnAfnG,12
"Bzkflgm[i;425",rHqWDinLPGwrhKUTFgwU,27
dBHJRSxy?IYXqstYTKp,%Sw(_foIGWwjmNXLeRbA,15
*y+,"Wbk,g+EgoVFXn/",15
YuruyDvz,"tJ;",7
o#IhaqWD$]YrC]460,goKmnPEhexOXo:AAWH@495,12
"Gh,)RWB 513",l`xt=gqcHNAEJYitNWU,35
vQ`gZpu,GLKlB\jXAf(wZF,17
'h%xFmyWR,DdbC+QxJ<SZXSv+yb,38
fjJCHyrAh&\voH',"QI);/rBTEgRh",5
aHaNnxmckpqQJnJZTOB952,"k_simeCm(et oPC",25
"h+kPMYNavzdRuCS@,Oo",xAtmqwFol>DzQSXEjtlz,30
T$QSBIWWk,DW*L%xx>,38
Gkx(EZnKuCDwS+,",pBNlgicMlbGyp",47
Dm@=BYiy=,rjkwLnuhPxXUU,40
+g^$,hvYR`kWsQxurOTPjNfFcJ&389,30
ioVSjPxxRRkf,Lztc/EDC>y=,1
TmeXMvE,bYScxeYoWTfLg,38
"_B,ThfMatDMlPE)NCw",kgEKwLwgpqGOnmP,38
"aTqD`s sigWSZf\yDUIBJ776",yk*]bVhVIyzxo_cHo,24
W=YJCHMdLAAfrAGy<YV'324,AcaLjttWryG,35
rwT/bU@133,GMTkpzQdEgpcMuElz,2
<xyDoEBLQEmksOmmH),HrcvcUe292,17
S(GJY<Qai],@x=d[pkjkdAzvS,46
Hwajch,UWVhHQCRHVHbCec?^,10
eC@Ks[ApHn518,NklFtSePVxVvPU,41
YuruyDvz,cG<rvaqtVGLjgKT920,5
SRXomnv/,gCtHdwfXuZRN&pcBVXx\n+,28
yREqnytFOvu%XYhpaj,"rh)QD=ipSDWw NVGzdZE",39
DjJjLFxj+,$DAv-,16
WXDuxP>ObLu=UYmxwPdHk,A+=Wv,21
SmB.312,]o,3
:M,d`kanz,36
X]jGOi?OJ,fpfSNzt,18
noqi``XFD,:HUmN<\FWI,28
c:CeYnJwzqhnNto,\f_ITrW=901,50
/oE@/576,"VtqAxHiwAF>,SwOPA",17
mXqbE\NEZgx-RqYlDP)Er,qURbDLbobCxOQ#SO,41
"]DwSEt,tprI",ZZBGYjgS`bNGFEpm#A`bqTT,25
$srn$Jr*f,AbuuBZ,32
ihQCTnUgDx,"+CJVhs,xcl",34
OYXngTTE,ggzair,17
jDeFyoukIKnkVqX,AUQVaLtWkFfAOciftek,25
"mbpcXR$Z(PaKzAJDM 353","XtmANJ;XYZ",17
SreSoSnpC=904,"RJTwCqGplyYkqK^ @K",50
SQSOdt,ZACSb?Ps$`QCRv,26
OROpPz917,kpMPwohhkEPi#mlh,32
WiohjVxPX-HKJ+*uqzwgde,"ZBk,bGOiykcO>aTmMBDFOs638",41
lyAjFjEf,sbnkzojcHRdtKbQB,4
$@G@bzs,jFx,28
QyltYLhNtJrXfbbJ_B+u=904,DApyQlbGEWV,9
iG-ZOOaemOxbeAiwI,MqXXQJZTQb<tdhz#wl,47
"<rgoavAD@ ",GSfOjVgdjeMTJ,33
vSAEDVAEf\n:ZkONiM,.UGKJqjbuzhKgzyj<,42
"zCTKcUxj;olcbv",bCglApxDeDZY+<nEpZT,36
vIyh:n,TZ\Do>if,29
"`R ",Bce$&,42
ANd):sglj,HH`AbUHxy,38
m?441,FdZ[,46
XeJUIxaPV^+,AK%ikQg<,42
k#172,[E-MMbT=Hm,25
HZiytGyfoGEdkD,*LJHkcKR,42
npZVPDE,HaElCDNuAAsVjPYC<303,49
y-ICJdjJDEGlLISgtKtD,Ye([,49
UmjifeqO`936,"XDVE[> ",15
kWgC.mGmUsXswbKio,v725,46
VUn*EOoE(vPa-289,"KbE,gIagYGiaNm/lgedp",1
"U@s;j",fwwIPHaPlpnq,8
BQYqCxLjZFZdT585,ayAHe)PuOx</,17
^hhj(WQy,+g^$,25
Vw*Ui$yzebSl,gotZgM,33
"kSed,d$RUrxvCk)BHVE",$zNHfnXR%C,19
FBMq/HdfsQcbd@LLWco,]t?Xy&_529,24
ecnHDTq.iCj\potu,"wxN`Q;bQrIxU",46
SCoKJkCd-H^e)934,KwPRQtfz*SYJLEZKXfIt376,45
"FrzzIi Ruu+KAoql*SyRT",Wl]JxqPNIiHyu/FH'm,15
(fb),jLRBKPw&\TQm<336,16
"rQxoy#A,iprttZLzTRNi_N",X%Zdx[V,40
YECMUterxOzp,"dZZf,iDEY",35
riB$?AnCka?MtVBl,r+BX-.i,23
vXpGaDdxQ^AkIY@R<,"Ws UhwDDip",32
xo/D@SrKSeGYAR,*^/Hp,1
vUe,[L='Y,14
"<ZQ@gpJnodq 562",fGOQ_nRAFKb,2
VOyP+lFmujh?168,amRAqpS_ewxRlDIN.,12
X%LOPYEWSMYr&xP,"Pzm;\kGg`214",1
mlB]ONVUzioQf&V%KaPo,WKSDLEUfDcOTkERhIm+240,32
VfCp>AXHXBhyuXk[978,PTVhBXOwhknYqnC,24
K)^PNXQpuyGjR/NCHKyhZ,"h]zkkePTg;]Kxbafk",46
'q^wRiGc+oI,cPSjaUqV,46
'VJWtL,jnOvTQYbXIHUWPYQQjm_t-822,4
p>Y,uz%udqBUsWyp[kLuxDmi>,43
cc<ySw[919,PvKRttGbgtG]D,16
"b<VTFxMAzqcQdsKWa dihP466",)jQWhrcGfOT^h\LlNnxcDj,25
"]DwSEt,tprI",OoXkWwJ.cg%C%rOi714,3
dEcY$a372,jUu::u(j,35
OxWgh,U(fCHqlYePBaYwhzBpEO,21
BAhicKsCZwD^hK,rwJzXg.?,43
UrzKVOLA`Zt,q,47
"NgH,f$pz",'ej$T],6
ENnOBRmvYHu,PvKRttGbgtG]D,1
PXSoWB,HETqIpt_,2
VTjXdSjwk#J,\wFPLPGyl$e>644,4
"CYLKgta tLchPp`ErTDWB",KlvBqqE,39
tY`,ive-LIlxRCYOQS,34
KGVaoaVhvfIu[GG/fUZ,HTZUROAm%HK,30
TV(xB,OhnIpT,24
Dwj$'R,qN)EiofxDGb,24
pxRWLmJZgBEElnTvzcT,#RCSZn'ta`662,6
"oS,ZzRecuEQVCYkXCscVk292",[X(h,38
mAggOaGJeyygMZTMIc,MRfABdO<tlQ,20
ipuQ\YgvEO558,UV`jsVahPslvYEyQR,23
XylWXTnFO-nd<574,LiD?a,37
Etdmyg#,vI)\,14
xYPTE_=atoT,<UU,17
qU[zbe-KNGuKjBR,ljjlBoqPaauAOjSbJOO,40
Y,UfoeVDLklVorsbNOTat#t924,22
ymkL)>.JUDeE,"hF=,",7
CkAUKdaGprzrhgDamkkR,XAbFsP,21
JCXgtkczHGgZHi,b>dIumEOyVNxpMKFtK?Nr,10
:dbL=Dn,"J flIYdpp",21
"MoMwMmhm@KWNz,\QaQmAybX",XBUyJvZDInqjzExRqvpv,47
"Uy_e\;MxoYpmTJHJh",wyeuegVNZGYYV,14
?rPzZ\QyhVbKO,MpyNZASJSOA<VO@S,29
VCRu/235,)H,36
typzM]zAdNXgn433,hZfVbgGb,49
zRXiF(ShiohqPR,LdI+GXfATnX:831,6
"eTKjbE^Ezjpo;LJKzwylGl",YANPLjiHgKUVBv,33
ElIhJZjLeL,XYO<vEiLIOy,31
