Id,label
Lt-hWaStx)meiNH<zpI,Lt-hWaStx)meiNH<zpI
lBbBLBdPTpkayq$,lBbBLBdPTpkayq$
"ODusOmOgeVqY[ y","ODusOmOgeVqY[ y"
f-]a,f-]a
"+znVBoHGXSk $jd","+znVBoHGXSk $jd"
MZn,MZn
%pd,%pd
Y>250,Y>250
F^.^,F^.^
yWmGBSLvWpoGBWPJQ,yWmGBSLvWpoGBWPJQ
drpSdbeoNSnuKwlv$KYg,drpSdbeoNSnuKwlv$KYg
"g) CbJFgN Dk","g) CbJFgN Dk"
vsS`NrR195,vsS`NrR195
spCEKXQ`ftm=tNESSL>,spCEKXQ`ftm=tNESSL>
b`Qg:lK%ImIbHN,b`Qg:lK%ImIbHN
.\IulY=,.\IulY=
p%VOInA,p%VOInA
"kom,oC_WyfPVWZh","kom,oC_WyfPVWZh"
P:Vg*.soqX,P:Vg*.soqX
BnmCIUyTDK`yQNq$\Qwk687,BnmCIUyTDK`yQNq$\Qwk687
YnDRtVBu_Wydk(?w,YnDRtVBu_Wydk(?w
XiLoOSbdTuU=HpVbpt,XiLoOSbdTuU=HpVbpt
FFDuIXu\LZiM,FFDuIXu\LZiM
[LVD+,[LVD+
gdRPBVPwCHAqc'by959,gdRPBVPwCHAqc'by959
Tt#RXCnXqTdf&IcDprTXz,Tt#RXCnXqTdf&IcDprTXz
z)Arbu-vfbtTfdOku,z)Arbu-vfbtTfdOku
qaReCmVC*w=q',qaReCmVC*w=q'
jQM/Wg+K_q,jQM/Wg+K_q
TrasIKrX>qX,TrasIKrX>qX
JLDfZb.KIyIJ,JLDfZb.KIyIJ
BryagSWJlY`kVnpnF,BryagSWJlY`kVnpnF
"gAlRyRSyvO=u ","gAlRyRSyvO=u "
owuXmhrGej#SnaY,owuXmhrGej#SnaY
QB,QB
DcM,DcM
f?x@BTtGcFq?hztaAzkIA,f?x@BTtGcFq?hztaAzkIA
DxSuiWqjJs[AwC\251,DxSuiWqjJs[AwC\251
CKTBipQfg,CKTBipQfg
"F@;f,qp","F@;f,qp"
yBziVbrSTLRsaSZM,yBziVbrSTLRsaSZM
OOsAuqzyRHaCIrdh_587,OOsAuqzyRHaCIrdh_587
xDCu-,xDCu-
AtqGP,AtqGP
"l^lcOKBh;N.Qml","l^lcOKBh;N.Qml"
">pfvYNLVECVIvtLTzOUN,",">pfvYNLVECVIvtLTzOUN,"
XHHfN@q,XHHfN@q
biAp`,biAp`
ZLrTTugbnrJFhl,ZLrTTugbnrJFhl
kSlALlcHKuo,kSlALlcHKuo
Xh?FgIlr-779,Xh?FgIlr-779
"FqnnTB,uFHs/ZckaUXI","FqnnTB,uFHs/ZckaUXI"
TOq\pKezmYgif,TOq\pKezmYgif
FgmilUxOvEeezHlorBEE581,FgmilUxOvEeezHlorBEE581
XAWcl['epBzNXDj,XAWcl['epBzNXDj
PioWlDWjOaZS,PioWlDWjOaZS
MT=bIphVMEnJUT?380,MT=bIphVMEnJUT?380
kU,kU
o,o
v%,v%
uPGkr(AR=NGGoOzg(zN,uPGkr(AR=NGGoOzg(zN
"[?;R199","[?;R199"
=aJ-H651,=aJ-H651
o&SUesazjOW,o&SUesazjOW
nJ#,nJ#
CaysUR,CaysUR
"+CXbCjfmj?v k626","+CXbCjfmj?v k626"
TuBFMkqvNdJpWM,TuBFMkqvNdJpWM
"tETB;d#Lvi556","tETB;d#Lvi556"
lTfQ*VhYir\auxoBki%QXU*922,lTfQ*VhYir\auxoBki%QXU*922
>+V>,>+V>
m&iLJa(C,m&iLJa(C
fVJZShn%CezebaDQW,fVJZShn%CezebaDQW
lOMkVPZKTjYK,lOMkVPZKTjYK
waVbwxqVxg[123,waVbwxqVxg[123
NPuqWmgn,NPuqWmgn
ooN_`:xfi,ooN_`:xfi
yFJ=afVEhxGV`PlzsTs,yFJ=afVEhxGV`PlzsTs
]UtUW[853,]UtUW[853
"<Qt kB)eadhzZVL$184","<Qt kB)eadhzZVL$184"
YWDxHFWTrrP?DV>NBCUjBR*552,YWDxHFWTrrP?DV>NBCUjBR*552
=*Q,=*Q
JI>op_338,JI>op_338
"dq ouujAy\qfZq","dq ouujAy\qfZq"
.jeXvYkwHgqFv,.jeXvYkwHgqFv
]NXFXJ=hR,]NXFXJ=hR
*wSq_tCFZSbXnWzhOD,*wSq_tCFZSbXnWzhOD
m]xyRMcdzYQAoYNe'go,m]xyRMcdzYQAoYNe'go
cVMqwqJeWoD,cVMqwqJeWoD
+GwWDCyXxgaUCx*nOFQ,+GwWDCyXxgaUCx*nOFQ
dLzUEEQrDU,dLzUEEQrDU
Ew,Ew
gvyLFxnJBIsqMjH,gvyLFxnJBIsqMjH
@xKCL\vh#iVk,@xKCL\vh#iVk
DbpHfwgCMhJvmETVmboY981,DbpHfwgCMhJvmETVmboY981
:nHNGUaFEmLct,:nHNGUaFEmLct
EpR+Npf=j^hjGonMAAlmW#649,EpR+Npf=j^hjGonMAAlmW#649
",mw",",mw"
wuTKSzRdGZFEisdd@488,wuTKSzRdGZFEisdd@488
gb`^W^rWmPYoXHgx,gb`^W^rWmPYoXHgx
okLhe%Z,okLhe%Z
"nKnHD,aXCcdXDSu'tMA>y","nKnHD,aXCcdXDSu'tMA>y"
rGt`SyCbjJvJH/863,rGt`SyCbjJvJH/863
odW`=g^,odW`=g^
aIeE+`fb,aIeE+`fb
*TeF>tliGxr'GFJBErcWvr,*TeF>tliGxr'GFJBErcWvr
baZNzi`VswsI,baZNzi`VswsI
sbgBNU^E,sbgBNU^E
";pUa[HySnGZGnfdA",";pUa[HySnGZGnfdA"
WpSkrtXBLwOUzShZgE142,WpSkrtXBLwOUzShZgE142
DaUzKv,DaUzKv
"OV(GdDL(CUJDPiyoE,KHfQl","OV(GdDL(CUJDPiyoE,KHfQl"
QpiImwuKAcbC$830,QpiImwuKAcbC$830
DEaCbAQvsY,DEaCbAQvsY
D+s<pTPX[Q:970,D+s<pTPX[Q:970
BSJIv/`,BSJIv/`
M#.,M#.
"dae;NR#ZWwGZ@uoFwLlpIo","dae;NR#ZWwGZ@uoFwLlpIo"
ORs@?ZTt@h,ORs@?ZTt@h
kEiibupzqpKF&qjyJt$K,kEiibupzqpKF&qjyJt$K
"gc% (","gc% ("
TIstVWaPIYdL<czLSW?hvy,TIstVWaPIYdL<czLSW?hvy
"UPfPtcZOwJzhZRvQqTiC;","UPfPtcZOwJzhZRvQqTiC;"
lvFr+uJEQ>A,lvFr+uJEQ>A
IIR]ZwuDiq,IIR]ZwuDiq
"RtWS;Myq","RtWS;Myq"
fSpjtpsHTvfrC,fSpjtpsHTvfrC
RuQuPzIgXmmvuEMhQI#C,RuQuPzIgXmmvuEMhQI#C
xNCMeHFZzTrNpPuRu.SM*b#,xNCMeHFZzTrNpPuRu.SM*b#
"vJgKhS;\WaxEsQ$QdvKf*736","vJgKhS;\WaxEsQ$QdvKf*736"
OloaQsByROIo#XWBH:ECTe?400,OloaQsByROIo#XWBH:ECTe?400
atWSmuEpZ,atWSmuEpZ
@X`(,@X`(
Y.&,Y.&
EbCSYlwd=WCoeWTqvgp,EbCSYlwd=WCoeWTqvgp
QFa\f.TZIEK,QFa\f.TZIEK
bPfWRc-EHXVR`p,bPfWRc-EHXVR`p
";-a",";-a"
JCK_RZ,JCK_RZ
eBD)imSv--Z,eBD)imSv--Z
AJtkZGDHkwki,AJtkZGDHkwki
]FQs,]FQs
bUyWFfuCIe>yRS,bUyWFfuCIe>yRS
D:+'*851,D:+'*851
mtGHRkVyRTEk#UiEK,mtGHRkVyRTEk#UiEK
FTVQH=hqgVh,FTVQH=hqgVh
QWlMZEHlsiRYcCO)LtQZ,QWlMZEHlsiRYcCO)LtQZ
"Imrm,m# ZeVNHsmKl 353","Imrm,m# ZeVNHsmKl 353"
rzMSTQccsoLgvIFHz,rzMSTQccsoLgvIFHz
aHPhbUKffXOQN^x.KIb240,aHPhbUKffXOQN^x.KIb240
oilocPU:&zUjrSR,oilocPU:&zUjrSR
c%r,c%r
bmqR,bmqR
LbpsISGzavqIyPrUavt,LbpsISGzavqIyPrUavt
CPtATWZEsDUYvh,CPtATWZEsDUYvh
lc%vOxEY&ba[Z,lc%vOxEY&ba[Z
Mx),Mx)
xvD'AXvqKk-A,xvD'AXvqKk-A
(qJOd,(qJOd
]drh(I\,]drh(I\
IoV?UnIc#B:Thuz,IoV?UnIc#B:Thuz
WOnkHeBlJhwmy,WOnkHeBlJhwmy
wDwlrPCTikKs`Z*aM'Wmn,wDwlrPCTikKs`Z*aM'Wmn
DaHpOrYSrlJeacfRtUk,DaHpOrYSrlJeacfRtUk
"b LNXowoJGyw","b LNXowoJGyw"
rnrUR]LENh,rnrUR]LENh
TbKGs+k=778,TbKGs+k=778
Ym[CqAHm`315,Ym[CqAHm`315
q.Dor_/,q.Dor_/
nMjCXqfbXxMAaBmc,nMjCXqfbXxMAaBmc
"cKO,@nn=800","cKO,@nn=800"
tVyIkPtSJ?PnoT,tVyIkPtSJ?PnoT
fcfAq,fcfAq
"dF'X& ","dF'X& "
'TXtTS,'TXtTS
#EEwf/j,#EEwf/j
RUPPaakS$qeMLCqDeCH,RUPPaakS$qeMLCqDeCH
dZTo-lS&,dZTo-lS&
?_sxo'#471,?_sxo'#471
Fw%[=,Fw%[=
NFaywOdlgEEsY,NFaywOdlgEEsY
N.EoUsPEfHRo&oak'C,N.EoUsPEfHRo&oak'C
O-TtQ`yXHYiBeWsNNEm'bJ,O-TtQ`yXHYiBeWsNNEm'bJ
PohADfPX#zsLvO,PohADfPX#zsLvO
yRdV%BnenLwSH,yRdV%BnenLwSH
rvU,rvU
Bn<jMvsFb>Cmuj,Bn<jMvsFb>Cmuj
#QQJvItjXjPzp,#QQJvItjXjPzp
rDckwFXfuLPOeHGY,rDckwFXfuLPOeHGY
B:upG%,B:upG%
sDC647,sDC647
FqMbhbbZNAWPcBLDT,FqMbhbbZNAWPcBLDT
BlSG,BlSG
TzWNHAZXq\wXfld:Xf,TzWNHAZXq\wXfld:Xf
PJL,PJL
iOAY,iOAY
DuBmivUAvsfN%mv,DuBmivUAvsfN%mv
jS,jS
GJixvidnslqXkcFwY@J,GJixvidnslqXkcFwY@J
TFYtektMlFRsxuaw,TFYtektMlFRsxuaw
"\MBQQuoGJvUrrnua;PKk","\MBQQuoGJvUrrnua;PKk"
"FyUYMD%k,t ","FyUYMD%k,t "
Y_VRJc,Y_VRJc
")n,nSjY",")n,nSjY"
"HyeRvqo=YDUOYZsLAh;424","HyeRvqo=YDUOYZsLAh;424"
FR&[,FR&[
GQhEe<IwnQsrkawOo,GQhEe<IwnQsrkawOo
MrQJuMPxmSjX,MrQJuMPxmSjX
kzEuybNoxlbWDJQn,kzEuybNoxlbWDJQn
"W:oP EC917","W:oP EC917"
flNYsKhufNCAKLXnR503,flNYsKhufNCAKLXnR503
sfKk]isdfQhG=ikSe,sfKk]isdfQhG=ikSe
LbLEUcpvUhDtNW,LbLEUcpvUhDtNW
"e[`;","e[`;"
wdtSPnRCb[NW,wdtSPnRCb[NW
)s+oCsXEXApe-943,)s+oCsXEXApe-943
w$Q+K,w$Q+K
T`/-,T`/-
oCakE[-TNR,oCakE[-TNR
ov'ktCwMqjpMSF/YgDHiv,ov'ktCwMqjpMSF/YgDHiv
[<(Ik,[<(Ik
VnWbQq,VnWbQq
olhhOmLuFXqgUxebND,olhhOmLuFXqgUxebND
"^HrDwIvp;:wtEDQal","^HrDwIvp;:wtEDQal"
" SOBI^(ZiLlOTUm"," SOBI^(ZiLlOTUm"
bJ,bJ
kcXaI_M[AeSszl,kcXaI_M[AeSszl
IdnXfFULamBO,IdnXfFULamBO
jvVgGlUmdPSqz,jvVgGlUmdPSqz
=ouP-z@956,=ouP-z@956
Uowjh,Uowjh
T^d,T^d
ZaCIwCPVKl,ZaCIwCPVKl
vi^VIF,vi^VIF
"DmW d=tNSLAPo+aqmh462","DmW d=tNSLAPo+aqmh462"
ujXNMsMqdETqYB<XWWsZc,ujXNMsMqdETqYB<XWWsZc
fTP'aIJNFo,fTP'aIJNFo
t`FRyA455,t`FRyA455
ZBTmZKmN^jhbdA,ZBTmZKmN^jhbdA
GJmgMwDFivgOqhZjnptz428,GJmgMwDFivgOqhZjnptz428
-tzh/gMkZPpZEBJG'BBxYC952,-tzh/gMkZPpZEBJG'BBxYC952
"RL:z'n,","RL:z'n,"
"EZbUj;qVehry","EZbUj;qVehry"
LVs*oVejQZmc-n,LVs*oVejQZmc-n
Oq`=-582,Oq`=-582
ayIp,ayIp
yYXb*'k,yYXb*'k
N/upBCtrUOtT]O,N/upBCtrUOtT]O
"swogT;voyqdVSxW@ga","swogT;voyqdVSxW@ga"
?pnbx>rQKP,?pnbx>rQKP
&zQn.rH*xiTWLzoNe,&zQn.rH*xiTWLzoNe
a@869,a@869
UMqQ&N/L,UMqQ&N/L
nj.Xe(Yq,nj.Xe(Yq
qUYAYtHwHaoPbJtulm803,qUYAYtHwHaoPbJtulm803
jbJvncVAvf,jbJvncVAvf
SC,SC
OcN>pFw%*S,OcN>pFw%*S
LgFbqfz&dahOkKZiasrQn,LgFbqfz&dahOkKZiasrQn
goiG`kyUHtG,goiG`kyUHtG
PgaceB:uJ%rHnuQl<Z,PgaceB:uJ%rHnuQl<Z
CgpWhSMkScF*,CgpWhSMkScF*
tBySN%kzm@/FbRSfk972,tBySN%kzm@/FbRSfk972
JKgeAOqCT,JKgeAOqCT
&hDY)[SC,&hDY)[SC
gKuWEmpMjYNQZFLppTCS,gKuWEmpMjYNQZFLppTCS
oEUyvsv$LuHjuKMHSYd,oEUyvsv$LuHjuKMHSYd
ymueTPCNUfc/HVEgc,ymueTPCNUfc/HVEgc
TdTIoj.N>sEYnfFCy663,TdTIoj.N>sEYnfFCy663
>Sj<RxtPVEpLDhF,>Sj<RxtPVEpLDhF
PPbFnLYMkWaSUH157,PPbFnLYMkWaSUH157
wl?=VdDNuNL<,wl?=VdDNuNL<
V[&,V[&
THeJKNVQSSvZVRqdvQGJ,THeJKNVQSSvZVRqdvQGJ
obsYOPjVgdRHAXQ,obsYOPjVgdRHAXQ
EbSZsl,EbSZsl
CcwGsEkkeM,CcwGsEkkeM
SBXKMfdzFzkz,SBXKMfdzFzkz
/rmsLYKhqrjLHWoDl+Hhj%426,/rmsLYKhqrjLHWoDl+Hhj%426
";iVJY# ",";iVJY# "
" irUOSNqUlzlztvMv"," irUOSNqUlzlztvMv"
"YExJWKokE/uRarmGgD iRh","YExJWKokE/uRarmGgD iRh"
loVkogbp`f,loVkogbp`f
H<aPm`xcs$un,H<aPm`xcs$un
NHgLlQovgqjZuu/f:284,NHgLlQovgqjZuu/f:284
wGrIaqx)y)vgYEkR,wGrIaqx)y)vgYEkR
a:.rSoPgAhSwSRERtAUj,a:.rSoPgAhSwSRERtAUj
YOiXKqPMIYAPy?tHz-,YOiXKqPMIYAPy?tHz-
"tkXA;a RWRgZ'KCFwqByc","tkXA;a RWRgZ'KCFwqByc"
QHaaHICHraZKidCHDPq,QHaaHICHraZKidCHDPq
"Lpm[dK,RH#962","Lpm[dK,RH#962"
rovlvr$^dWZ(UMdjBmZ,rovlvr$^dWZ(UMdjBmZ
Ps>'xaKETyDewFwwqZCr,Ps>'xaKETyDewFwwqZCr
XESpiGzwUMCjHO,XESpiGzwUMCjHO
ULiwTdLnnJ=Z%216,ULiwTdLnnJ=Z%216
nDpShjpLC/ARe&KVYyZ,nDpShjpLC/ARe&KVYyZ
ryTYCcZXESUOO@f,ryTYCcZXESUOO@f
Vaf<=a)c,Vaf<=a)c
J'Ntg%(a,J'Ntg%(a
"> J@","> J@"
KNeLZOqQdklUTon.MwV$_,KNeLZOqQdklUTon.MwV$_
RBYCWUfac`zkpYCJUr/601,RBYCWUfac`zkpYCJUr/601
aAqmJMNROXI,aAqmJMNROXI
VIzedG,VIzedG
]_L*,]_L*
LfWAC,LfWAC
"oBE, \oo","oBE, \oo"
HVMTrNqwARxMHVuYXc&916,HVMTrNqwARxMHVuYXc&916
nGHiZOH`CHqigrisUh$u,nGHiZOH`CHqigrisUh$u
PssrYltQvNrdDe,PssrYltQvNrdDe
W>e,W>e
"nw,X%rhd<","nw,X%rhd<"
"f;gMJfiZzZwpbTVn&NzQqd","f;gMJfiZzZwpbTVn&NzQqd"
"y;XWVcXB","y;XWVcXB"
"ixL;xS.s*","ixL;xS.s*"
UxxuycTKLhpSJUerphB,UxxuycTKLhpSJUerphB
"ChbcRJSLOps%ADvD,pHQcE-","ChbcRJSLOps%ADvD,pHQcE-"
wwt)en]-AMFdzYz,wwt)en]-AMFdzYz
"cqrkrbEFy=,uX","cqrkrbEFy=,uX"
"T/IJiG+kccAiOLAM ","T/IJiG+kccAiOLAM "
TjSsebZ,TjSsebZ
Na/YNnuVh,Na/YNnuVh
byiSsByMiQdRXx/c,byiSsByMiQdRXx/c
qt'?eHthDuqPPtaRXFEWT)K,qt'?eHthDuqPPtaRXFEWT)K
]fPxME_OpyIXo]lgEGxS,]fPxME_OpyIXo]lgEGxS
vou.H125,vou.H125
Ofj?w-o,Ofj?w-o
bxbMPxYYiOD$x,bxbMPxYYiOD$x
yqVWhxX\S^CNd+Kn,yqVWhxX\S^CNd+Kn
Uxe,Uxe
rO/r,rO/r
PvHMqHB)lanDs-ydjIJT,PvHMqHB)lanDs-ydjIJT
PiJJERXc*SoxTWjf#aIt,PiJJERXc*SoxTWjf#aIt
jkdXAtLUAGKW$Ijdm,jkdXAtLUAGKW$Ijdm
"OwmXgzkUeN ","OwmXgzkUeN "
WKeSjTHKrRbKhw,WKeSjTHKrRbKhw
VWvGM-vQKDxDlb/592,VWvGM-vQKDxDlb/592
GMh-Daiig[muFxyxFFN.F,GMh-Daiig[muFxyxFFN.F
zRTRnKTDOQeisskRTGmw[271,zRTRnKTDOQeisskRTGmw[271
"HvvAyAgeC<XlBQq*;q@996","HvvAyAgeC<XlBQq*;q@996"
")FWiia,t",")FWiia,t"
XeF,XeF
ssIaZFv),ssIaZFv)
"qOSluEIzcZ#K=FyV,ZUcj","qOSluEIzcZ#K=FyV,ZUcj"
gaWI=aSRelKtEltgObO,gaWI=aSRelKtEltgObO
dJJMJkxSpHGSDD,dJJMJkxSpHGSDD
aHpTbPWX,aHpTbPWX
=l?,=l?
TsjF&PkNbZAXEn,TsjF&PkNbZAXEn
Yg+z(>205,Yg+z(>205
">BfUNg,m",">BfUNg,m"
mRdXAaom%DsvluLDolMF&M,mRdXAaom%DsvluLDolMF&M
sHFn,sHFn
K:misQayBjs\uKsesY,K:misQayBjs\uKsesY
xNruwo>MfPQDpLbZV_Ujo,xNruwo>MfPQDpLbZV_Ujo
DWApam+GaFzHRQUiHNHsh,DWApam+GaFzHRQUiHNHsh
'XSDKdnWcmgLej-W,'XSDKdnWcmgLej-W
zqtgbiRwdIouLfwKRW,zqtgbiRwdIouLfwKRW
"lTpyT]R=ydHjQRkmfOgi,A","lTpyT]R=ydHjQRkmfOgi,A"
SrLVVNlGseP?_`rBDqB,SrLVVNlGseP?_`rBDqB
njGGTFVNKYodnMxjzH,njGGTFVNKYodnMxjzH
eUsmrlBNM$+cG,eUsmrlBNM$+cG
"XIKkxtuAhgEaqj,IdJ","XIKkxtuAhgEaqj,IdJ"
"YszumNSTb UZFIoa","YszumNSTb UZFIoa"
qpM-O,qpM-O
avOJSfpLZE,avOJSfpLZE
DwarA*XpugdbxlPvAyb&T)399,DwarA*XpugdbxlPvAyb&T)399
FSEConhHpzN,FSEConhHpzN
xAIQgVzIUFiqdnNSr]A,xAIQgVzIUFiqdnNSr]A
"DZv@miX;gTdfBABn/","DZv@miX;gTdfBABn/"
ScQkxsTwecuRIEe%EfXwQ#+,ScQkxsTwecuRIEe%EfXwQ#+
m\CsTU<vW,m\CsTU<vW
"ludLBIIj[Xdw,`AOYemmPJ)127","ludLBIIj[Xdw,`AOYemmPJ)127"
QrbvEO,QrbvEO
gFATmKHHuolg,gFATmKHHuolg
nWRpbkKZtoP[$<jR,nWRpbkKZtoP[$<jR
AfpBCgznzS#,AfpBCgznzS#
nZK%/jP,nZK%/jP
Oid@,Oid@
:OlkW):,:OlkW):
egCHaDNmeA,egCHaDNmeA
UNnHkOibR_GPRKFB+wN,UNnHkOibR_GPRKFB+wN
U^s=Lm#idkD,U^s=Lm#idkD
"lBaT d#AjZ t","lBaT d#AjZ t"
`UUV><,`UUV><
BornCGilAbHJB),BornCGilAbHJB)
"TvJY>yTbrDP:KVnD;","TvJY>yTbrDP:KVnD;"
qJApMxaKQGP,qJApMxaKQGP
ktvWSuAVgIRK^Br,ktvWSuAVgIRK^Br
fGzszHizpjvDPSu,fGzszHizpjvDPSu
(#S,(#S
UwU#PqhxX'Q#,UwU#PqhxX'Q#
DeMeUeONCPaLzzDoXndK,DeMeUeONCPaLzzDoXndK
i=d)bv>E,i=d)bv>E
jZdT/Ytvf,jZdT/Ytvf
vPrdlqtlwGPbx_KxOQGYt,vPrdlqtlwGPbx_KxOQGYt
FiQscG^wpI\ibZUCNdqx,FiQscG^wpI\ibZUCNdqx
k-`400,k-`400
tOnOPiclPf,tOnOPiclPf
ZTW++lRB,ZTW++lRB
dz>sEl`wJIG(hDXAK,dz>sEl`wJIG(hDXAK
\ME`BfMbuTbbS(jltZ@999,\ME`BfMbuTbbS(jltZ@999
AMVDlBTNNOlrdN+UImpg,AMVDlBTNNOlrdN+UImpg
id_PpTFkDAB,id_PpTFkDAB
xtAtzO(xW_RoPFZ,xtAtzO(xW_RoPFZ
"IvowweZsj%lddWO)kb;mbve","IvowweZsj%lddWO)kb;mbve"
BcCeQ[kFnJA>u#A,BcCeQ[kFnJA>u#A
#rV@,#rV@
jg#DnW,jg#DnW
\?w,\?w
" ,'f@908"," ,'f@908"
XThEfYG,XThEfYG
eMMgABnpRT,eMMgABnpRT
D/,D/
YjCyKu,YjCyKu
nEVPDqvJMZq)>428,nEVPDqvJMZq)>428
FunssbK+k>UIPjmho,FunssbK+k>UIPjmho
e/%.,e/%.
GcPmyCpfSBDg=Cs+cOXDEa,GcPmyCpfSBDg=Cs+cOXDEa
SeGFRJePLKBP:F(wg,SeGFRJePLKBP:F(wg
"PbHZzce<a;","PbHZzce<a;"
joc#aT:/mc,joc#aT:/mc
WdETCFcDErLzIFSDBPW206,WdETCFcDErLzIFSDBPW206
cQ,cQ
vIdB?yJOHhXE\Qv.,vIdB?yJOHhXE\Qv.
>K)$z,>K)$z
yCh=ehEteCbVCNlKnc)KF,yCh=ehEteCbVCNlKnc)KF
"BbIMSqM^ onI%RjtCF","BbIMSqM^ onI%RjtCF"
>$vey,>$vey
keiNGQnIYMTIcvmLAMF_919,keiNGQnIYMTIcvmLAMF_919
"UWo -EhFYdclw]YxDVC","UWo -EhFYdclw]YxDVC"
xG/ZEE-vgBollQChpJh767,xG/ZEE-vgBollQChpJh767
)m$yfFYv,)m$yfFYv
G^WSFVf=HAwUzsk,G^WSFVf=HAwUzsk
ZcCQl_cZzM,ZcCQl_cZzM
n>gFwBzJeOWKY,n>gFwBzJeOWKY
qlYT<lmjZg^baC/481,qlYT<lmjZg^baC/481
RbhUiDjwQgmynSE,RbhUiDjwQgmynSE
crEIgodOgeWeJzREE,crEIgodOgeWeJzREE
QlurMbBUZMP[H&,QlurMbBUZMP[H&
SjPRisbeBbOMA,SjPRisbeBbOMA
UrBg.^FeQwlw@ah,UrBg.^FeQwlw@ah
"_lNxps,twlSKbidvoL,","_lNxps,twlSKbidvoL,"
:Vj/aovpuNvaMi,:Vj/aovpuNvaMi
\&ph,\&ph
uoDjKW,uoDjKW
sDZeZFXhdiC\)mA,sDZeZFXhdiC\)mA
wfnHglghhEMzd,wfnHglghhEMzd
"bCenNSIoLl;TLaa*Ri","bCenNSIoLl;TLaa*Ri"
rbEVhTp]FBZCXkQ@dZ%C,rbEVhTp]FBZCXkQ@dZ%C
UEuNTLSEYUMEdmr\tbsb,UEuNTLSEYUMEdmr\tbsb
PMkuStqGwCurl',PMkuStqGwCurl'
t&SvxoApxlEeD,t&SvxoApxlEeD
dcFgdIWheEogqQDt,dcFgdIWheEogqQDt
",cYCqlyB^z@",",cYCqlyB^z@"
emziCqTH_&tQy+Wo,emziCqTH_&tQy+Wo
OXMd?<@ckzlHCBOBMsw,OXMd?<@ckzlHCBOBMsw
itgCBtOemg=,itgCBtOemg=
/NDhOavMKMZZbuh]X`O,/NDhOavMKMZZbuh]X`O
FRL&a,FRL&a
eMdWl,eMdWl
yUXueW?OjXTZ>HlEcspiI,yUXueW?OjXTZ>HlEcspiI
KMkbdwVJkfykUbQQJ&l,KMkbdwVJkfykUbQQJ&l
